genre_name,coordinate_top,coordinate_left,estimated_mood
pop,4997,783,Atmospheric/Calm
rap,5866,1068,Atmospheric/Calm
rock,11552,563,Atmospheric/Calm
urbano latino,3456,1170,Atmospheric/Calm
hip hop,6854,1086,Atmospheric/Calm
trap latino,3723,1182,Atmospheric/Calm
reggaeton,3087,1173,Atmospheric/Calm
dance pop,3478,862,Atmospheric/Calm
pop rap,5285,1043,Atmospheric/Calm
modern rock,5689,471,Atmospheric/Calm
pov: indie,7866,615,Atmospheric/Calm
musica mexicana,13121,986,Atmospheric/Calm
latin pop,6316,826,Atmospheric/Calm
classic rock,13282,646,Atmospheric/Calm
filmi,15070,772,Atmospheric/Calm
permanent wave,8984,488,Atmospheric/Calm
trap,5478,1064,Atmospheric/Calm
alternative metal,6864,306,Deep/Acoustic
k-pop,5326,777,Atmospheric/Calm
r&b,6238,919,Atmospheric/Calm
corrido,13324,1062,Atmospheric/Calm
canadian pop,9390,646,Atmospheric/Calm
norteno,12859,1021,Atmospheric/Calm
sierreno,13402,1032,Atmospheric/Calm
album rock,10880,490,Atmospheric/Calm
soft rock,10613,630,Atmospheric/Calm
pop dance,2608,779,Atmospheric/Calm
sad sierreno,13185,1005,Atmospheric/Calm
edm,2647,767,Atmospheric/Calm
hard rock,10110,368,Deep/Acoustic
contemporary country,6852,554,Atmospheric/Calm
mellow gold,12672,621,Atmospheric/Calm
uk pop,8311,760,Atmospheric/Calm
melodic rap,4726,1060,Atmospheric/Calm
modern bollywood,8901,783,Atmospheric/Calm
alternative rock,9647,416,Atmospheric/Calm
banda,11092,994,Atmospheric/Calm
post-grunge,5075,372,Deep/Acoustic
corridos tumbados,13363,1009,Atmospheric/Calm
sertanejo universitario,8841,832,Atmospheric/Calm
nu metal,5839,335,Deep/Acoustic
country,12934,729,Atmospheric/Calm
art pop,9611,599,Atmospheric/Calm
atl hip hop,4354,1062,Atmospheric/Calm
urban contemporary,5618,937,Atmospheric/Calm
sertanejo,9856,808,Atmospheric/Calm
southern hip hop,5426,1055,Atmospheric/Calm
singer-songwriter,14451,670,Atmospheric/Calm
reggaeton colombiano,3653,1159,Atmospheric/Calm
arrocha,8462,961,Atmospheric/Calm
french hip hop,10918,1073,Atmospheric/Calm
colombian pop,4479,1009,Atmospheric/Calm
alt z,8689,834,Atmospheric/Calm
country road,7385,563,Atmospheric/Calm
mexican pop,5348,797,Atmospheric/Calm
canadian hip hop,8790,1026,Atmospheric/Calm
j-pop,5268,519,Atmospheric/Calm
indonesian pop,9650,568,Atmospheric/Calm
singer-songwriter pop,9101,813,Atmospheric/Calm
ranchera,14637,834,Atmospheric/Calm
new wave pop,5552,705,Atmospheric/Calm
indietronica,5143,677,Atmospheric/Calm
german hip hop,9579,1070,Atmospheric/Calm
pop urbaine,9076,1092,Atmospheric/Calm
rock en espanol,5172,739,Atmospheric/Calm
latin alternative,5892,765,Atmospheric/Calm
gangster rap,6148,1103,Atmospheric/Calm
soul,16511,832,Atmospheric/Calm
k-pop boy group,4033,741,Atmospheric/Calm
latin arena pop,6358,686,Atmospheric/Calm
chicago rap,6791,1011,Atmospheric/Calm
italian pop,9338,751,Atmospheric/Calm
heartland rock,11956,540,Atmospheric/Calm
k-pop girl group,3066,895,Atmospheric/Calm
agronejo,8501,847,Atmospheric/Calm
modern country pop,8297,533,Atmospheric/Calm
electro house,2180,839,Atmospheric/Calm
latin hip hop,3185,1153,Atmospheric/Calm
canadian contemporary r&b,9481,795,Atmospheric/Calm
pop punk,4549,327,Deep/Acoustic
neo mellow,10411,568,Atmospheric/Calm
pop rock,6766,469,Atmospheric/Calm
latin rock,5289,711,Atmospheric/Calm
punjabi pop,10481,1005,Atmospheric/Calm
rap metal,5651,433,Atmospheric/Calm
trap argentino,6336,1103,Atmospheric/Calm
new romantic,4646,689,Atmospheric/Calm
new wave,5140,607,Atmospheric/Calm
uk dance,2202,947,Atmospheric/Calm
slap house,2352,868,Atmospheric/Calm
modern alternative rock,5114,443,Atmospheric/Calm
indie pop,11292,573,Atmospheric/Calm
indie rock,9921,469,Atmospheric/Calm
house,1379,1108,Atmospheric/Calm
conscious hip hop,10057,1041,Atmospheric/Calm
modern country rock,5468,530,Atmospheric/Calm
east coast hip hop,7975,1112,Atmospheric/Calm
folk rock,14550,650,Atmospheric/Calm
metal,8923,214,Deep/Acoustic
turkish pop,7681,744,Atmospheric/Calm
bedroom pop,9805,716,Atmospheric/Calm
desi pop,9243,813,Atmospheric/Calm
italian hip hop,8939,973,Atmospheric/Calm
hoerspiel,16131,1325,Atmospheric/Calm
afrobeats,8601,1066,Atmospheric/Calm
adult standards,18832,700,Atmospheric/Calm
post-teen pop,4676,711,Atmospheric/Calm
neo soul,13763,772,Atmospheric/Calm
sped up,5314,864,Atmospheric/Calm
cloud rap,8664,866,Atmospheric/Calm
viral pop,10233,765,Atmospheric/Calm
talent show,4617,683,Atmospheric/Calm
spanish pop,6665,758,Atmospheric/Calm
punk,8873,350,Deep/Acoustic
alternative r&b,10520,967,Atmospheric/Calm
grupera,9816,921,Atmospheric/Calm
west coast rap,5478,1159,Atmospheric/Calm
opm,12474,563,Atmospheric/Calm
boy band,3653,718,Atmospheric/Calm
psychedelic rock,13945,604,Atmospheric/Calm
glam metal,8565,317,Deep/Acoustic
stomp and holler,13256,530,Atmospheric/Calm
desi hip hop,6488,1056,Atmospheric/Calm
ccm,7174,346,Deep/Acoustic
rage rap,4454,957,Atmospheric/Calm
hip pop,5113,1013,Atmospheric/Calm
puerto rican pop,6290,933,Atmospheric/Calm
german pop,6804,795,Atmospheric/Calm
miami hip hop,4279,1068,Atmospheric/Calm
argentine rock,9011,615,Atmospheric/Calm
sertanejo pop,8728,834,Atmospheric/Calm
tropical,12948,1066,Atmospheric/Calm
glam rock,11355,528,Atmospheric/Calm
funk carioca,6550,1205,Atmospheric/Calm
nigerian pop,9344,1068,Atmospheric/Calm
argentine hip hop,7384,1114,Atmospheric/Calm
dark trap,4354,973,Atmospheric/Calm
latin viral pop,4186,949,Atmospheric/Calm
piano rock,12549,588,Atmospheric/Calm
detroit hip hop,9970,1049,Atmospheric/Calm
italian adult pop,12179,636,Atmospheric/Calm
country rock,13862,680,Atmospheric/Calm
underground hip hop,8488,988,Atmospheric/Calm
mexican hip hop,6803,1112,Atmospheric/Calm
progressive electro house,2016,828,Atmospheric/Calm
synthpop,3168,741,Atmospheric/Calm
metropopolis,5410,535,Atmospheric/Calm
garage rock,9106,396,Deep/Acoustic
indie folk,14512,593,Atmospheric/Calm
vocal jazz,19562,795,Atmospheric/Calm
classical,21730,380,Deep/Acoustic
europop,2922,786,Atmospheric/Calm
progressive house,2089,721,Atmospheric/Calm
art rock,12934,521,Atmospheric/Calm
yacht rock,10904,746,Atmospheric/Calm
mpb,14082,806,Atmospheric/Calm
pagode,11529,830,Atmospheric/Calm
tropical house,3569,864,Atmospheric/Calm
urbano espanol,10083,1047,Atmospheric/Calm
chamber pop,13108,473,Atmospheric/Calm
rap francais,8502,1106,Atmospheric/Calm
dance rock,2878,705,Atmospheric/Calm
j-rock,6062,404,Atmospheric/Calm
polish hip hop,8038,1047,Atmospheric/Calm
sleep,17972,83,Deep/Acoustic
folk,15717,741,Atmospheric/Calm
anime,5555,414,Atmospheric/Calm
trap brasileiro,9541,1071,Atmospheric/Calm
disco,8690,881,Atmospheric/Calm
pluggnb,6524,885,Atmospheric/Calm
british soul,6791,847,Atmospheric/Calm
metalcore,5143,207,Deep/Acoustic
australian pop,6505,694,Atmospheric/Calm
uk hip hop,10672,1053,Atmospheric/Calm
christian music,7136,360,Deep/Acoustic
gen z singer-songwriter,12547,760,Atmospheric/Calm
electropop,5199,781,Atmospheric/Calm
big room,2236,760,Atmospheric/Calm
forro,7729,965,Atmospheric/Calm
swedish pop,6679,677,Atmospheric/Calm
classic oklahoma country,15249,786,Atmospheric/Calm
reggaeton flow,4909,1144,Atmospheric/Calm
pop nacional,6928,935,Atmospheric/Calm
british invasion,12646,642,Atmospheric/Calm
mexican rock,5348,636,Atmospheric/Calm
indie soul,7210,949,Atmospheric/Calm
contemporary r&b,5022,929,Atmospheric/Calm
folk-pop,11056,583,Atmospheric/Calm
white noise,17985,0,Deep/Acoustic
pagode novo,11955,795,Atmospheric/Calm
soundtrack,16511,210,Deep/Acoustic
funk metal,7273,499,Atmospheric/Calm
grunge,10489,308,Deep/Acoustic
french pop,9855,711,Atmospheric/Calm
emo rap,6791,758,Atmospheric/Calm
salsa,13887,1049,Atmospheric/Calm
rain,16949,45,Deep/Acoustic
r&b francais,8210,1015,Atmospheric/Calm
lgbtq+ hip hop,5493,1021,Atmospheric/Calm
turkish rock,10932,554,Atmospheric/Calm
memphis hip hop,3882,1141,Atmospheric/Calm
mariachi,15208,765,Atmospheric/Calm
brostep,2864,802,Atmospheric/Calm
classic soul,14736,802,Atmospheric/Calm
funk mtg,8253,1261,Atmospheric/Calm
trap triste,7987,1005,Atmospheric/Calm
dirty south rap,5026,1088,Atmospheric/Calm
melodic metalcore,5715,201,Deep/Acoustic
blues rock,14688,781,Atmospheric/Calm
alternative hip hop,11265,977,Atmospheric/Calm
melancholia,13589,469,Atmospheric/Calm
pop soul,9831,799,Atmospheric/Calm
brazilian gospel,11243,508,Atmospheric/Calm
outlaw country,14946,893,Atmospheric/Calm
orchestral soundtrack,17224,247,Deep/Acoustic
dutch house,2339,832,Atmospheric/Calm
turkish hip hop,6703,1030,Atmospheric/Calm
queens hip hop,9606,1070,Atmospheric/Calm
christian alternative rock,5816,392,Deep/Acoustic
mandopop,9986,583,Atmospheric/Calm
lounge,19345,630,Atmospheric/Calm
worship,8909,257,Deep/Acoustic
dfw rap,5581,1097,Atmospheric/Calm
electronica,4483,817,Atmospheric/Calm
pixel,7103,860,Atmospheric/Calm
trap italiana,6653,984,Atmospheric/Calm
pop reggaeton,4793,1115,Atmospheric/Calm
new orleans rap,7521,1073,Atmospheric/Calm
otacore,7261,607,Atmospheric/Calm
rock-and-roll,15435,739,Atmospheric/Calm
funk,9793,919,Atmospheric/Calm
quiet storm,10991,813,Atmospheric/Calm
motown,12413,777,Atmospheric/Calm
japanese teen pop,5406,718,Atmospheric/Calm
brazilian hip hop,11377,1066,Atmospheric/Calm
gruperas inmortales,12400,990,Atmospheric/Calm
kleine hoerspiel,16248,1259,Atmospheric/Calm
indie poptimism,5683,667,Atmospheric/Calm
dream pop,10178,337,Deep/Acoustic
rap conscient,10771,1051,Atmospheric/Calm
neo-synthpop,2718,734,Atmospheric/Calm
funk rock,7236,774,Atmospheric/Calm
easy listening,18744,519,Atmospheric/Calm
bolero,17316,860,Atmospheric/Calm
g funk,4923,1187,Atmospheric/Calm
barbadian pop,3214,967,Atmospheric/Calm
progressive rock,12672,412,Atmospheric/Calm
eurodance,1534,917,Atmospheric/Calm
hardcore hip hop,10245,1086,Atmospheric/Calm
